name,department,reason
"ACCOX Men's Full/Long Sleeves Formal Regular Fit Cotton Linen Plain Shirt (GCRFS29)","fashion","Duplicate product title fingerprint"
"ACCOX Men's Half Sleeves Formal Regular Fit Cotton Check Shirt(Multi,GC177)","fashion","Duplicate product title fingerprint"
"Diverse Men Formal Shirt","fashion","Duplicate product title fingerprint"
"Raymond Men Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - Symbol Men's Regular Shirt","fashion","Duplicate product title fingerprint"
"ACCOX Men's Half Sleeves Formal Regular Fit Cotton Check Shirt(Green,GO534)","fashion","Duplicate product title fingerprint"
"Dennis Lingo Men's Striped Slim Fit Cotton Casual Shirt with Button Down Collar & Full Sleeves","fashion","Duplicate product title fingerprint"
"U.S. POLO ASSN. Men's Slim Fit Button Down Shirt","fashion","Duplicate product title fingerprint"
"ACCOX Men's Striped Full Long Sleeves Regular Fit Cotton Formal Checkred Shirts(GCR71)","fashion","Duplicate ASIN"
"Van Heusen Men's Loose Fit Formal Shirt","fashion","Duplicate product title fingerprint"
"Arrow Men's Regular Fit Shirts","fashion","Missing both actual and discount prices"
"Allen Solly Men's Slim Fit Shirt","fashion","Duplicate product title fingerprint"
"Arrow Men's Slim Fit Shirt","fashion","Duplicate product title fingerprint"
"Levi's Men's Slim Fit Shirt","fashion","Duplicate product title fingerprint"
"ACCOX Men's Half Sleeves Regular Fit Cotton Formal Checkred Shirts(GCR49)","fashion","Duplicate product title fingerprint"
"Levi's Men Shirt","fashion","Duplicate product title fingerprint"
"Amazon Brand - House & Shields Men's Regular Casual Shirt","fashion","Duplicate product title fingerprint"
"Diverse Men Casual Shirts","fashion","Duplicate ASIN"
"Amazon Brand - Symbol Men Casual Shirt","fashion","Duplicate product title fingerprint"
"Van Heusen Men's Loose Fit Formal Shirt","fashion","Duplicate product title fingerprint"
"Arrow Men Shirt","fashion","Duplicate product title fingerprint"
"HARPITA Men’s Night Suit Regular Fit for Casual Wear | Digital Printed | Half Sleeve | Latest Stylish Loungewear Crafted w...","fashion","Duplicate ASIN"
"United Colors of Benetton Men's Printed Slim Fit Casual Shirt(Colors & Print May Vary)","fashion","Duplicate ASIN"
