name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Amazon Brand - Symbol Men's Cotton Regular Boxer Shorts,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/814BCI4mCzL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-Printed-SYMBXRPO2-70_Multicolor/dp/B07TPND4QH/ref=sr_1_48?qid=1679142473&s=apparel&sr=1-48,3.9,"14,432",₹352.25,₹998
Jockey 8008 Men's Super Combed Cotton Rib Solid Boxer Brief with Ultrasoft Concealed Waistband,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91O5hdlTvwL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Cotton-Boxer-8008_Large_Charcoal-Melange/dp/B01ENBZP1A/ref=sr_1_49?qid=1679142473&s=apparel&sr=1-49,4.2,"6,245",,₹289
Levi's Men's 010 Comfort Boxer Brief with Smartskin Technology (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/5135e2rbOiL._AC_UL320_.jpg,https://www.amazon.in/Levis-Solid-Brief-PR8240BB-Black_M/dp/B07X6384G3/ref=sr_1_50?qid=1679142473&s=apparel&sr=1-50,4.2,"7,628",₹399,₹499
VIP Frenchie Plus Men's Cotton Brief (Pack of 6),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91GdEV8ZEbL._AC_UL320_.jpg,https://www.amazon.in/VIP-Cotton-Brief-Assorted-Colors/dp/B01E2BZFDE/ref=sr_1_51?qid=1679142473&s=apparel&sr=1-51,4.1,"5,873",₹670,₹720
MacroMan Men's Printed Trunks (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81YzU-oqBUL._AC_UL320_.jpg,https://www.amazon.in/Rupa-Macroman-Printed-Trunks-RVBMMDRPRT2P15085_Multiple_Medium/dp/B07M9R5D2N/ref=sr_1_52_mod_primary_new?qid=1679142473&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-52,3.7,"1,574",₹297.99,₹499
Dixcy Scott Men’s Brief Snug Fit Solid Innerwear (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71GkW5879lL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Comfort-OE_Black-Grey_M/dp/B07VQ6NKMH/ref=sr_1_53?qid=1679142473&s=apparel&sr=1-53,3.9,"4,825",₹239,₹399
Amazon Brand - Symbol Men's Cotton Regular Boxer Shorts (Color & Print May Vary),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81VxbI6kfWL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Printed-SYMBXPO2-11_3746-3897_Multicolor_Large/dp/B078T1MPNJ/ref=sr_1_54?qid=1679142473&s=apparel&sr=1-54,3.9,"9,297",₹343.28,"₹1,098"
Jockey Men's Cotton Boxer Brief Collections,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61fbHnPAwEL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Cotton-Brief-8009_Black_Medium/dp/B01ENC0GYK/ref=sr_1_55?qid=1679142473&s=apparel&sr=1-55,4.2,"6,589",,₹264
Dixcy Scott Men's Cotton Regular Briefs,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71bVJ57yaYL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Innerwear-Waistband-REPLAYBRIEF-P5/dp/B08Z74SVPZ/ref=sr_1_56?qid=1679142473&s=apparel&sr=1-56,3.9,"1,149",₹329,₹549
Dixcy Scott Men’s Brief Snug Fit Solid Innerwear (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71GkW5879lL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Comfort-OE_Black-Grey_M/dp/B07VQ6NKMH/ref=sr_1_53?qid=1679142474&s=apparel&sr=1-53,3.9,"4,825",₹239,₹399
